,Date,County,Population,Positive Tests,Cases Per 100k
21000,2020-05-14,Kings,156444.0,18.0,11.51
21003,2020-05-14,Los Angeles,10257557.0,1985.0,19.35
21004,2020-05-14,Madera,160089.0,3.0,1.87
21005,2020-05-14,Marin,260800.0,17.0,6.52
21008,2020-05-14,Merced,287420.0,4.0,1.39
21011,2020-05-14,Monterey,448732.0,9.0,2.01
21012,2020-05-14,Napa,139652.0,0.0,0.0
21014,2020-05-14,Orange,3228519.0,169.0,5.23
21016,2020-05-14,Placer,400434.0,5.0,1.25
21018,2020-05-14,Riverside,2468145.0,180.0,7.29
21019,2020-05-14,Sacramento,1567975.0,13.0,0.83
21021,2020-05-14,San Bernardino,2217398.0,261.0,11.77
21022,2020-05-14,San Diego,3370418.0,174.0,5.16
21023,2020-05-14,San Francisco,892280.0,56.0,6.28
21024,2020-05-14,San Joaquin,782545.0,20.0,2.56
21025,2020-05-14,San Luis Obispo,278862.0,1.0,0.36
21026,2020-05-14,San Mateo,778001.0,62.0,7.97
21027,2020-05-14,Santa Barbara,456373.0,10.0,2.19
21028,2020-05-14,Santa Clara,1967585.0,30.0,1.52
21029,2020-05-14,Santa Cruz,273999.0,0.0,0.0
21030,2020-05-14,Shasta,177925.0,0.0,0.0
21033,2020-05-14,Solano,444255.0,7.0,1.58
21034,2020-05-14,Sonoma,496668.0,14.0,2.82
21035,2020-05-14,Stanislaus,562303.0,9.0,1.6
21036,2020-05-14,Sutter,105747.0,0.0,0.0
21039,2020-05-14,Tulare,484423.0,53.0,10.94
21042,2020-05-14,Ventura,852747.0,27.0,3.17
21043,2020-05-14,Yolo,223612.0,1.0,0.45
21045,2020-05-13,Alameda,1685886.0,68.0,4.03
21048,2020-05-13,Butte,217769.0,1.0,0.46
21052,2020-05-13,Contra Costa,1160099.0,35.0,3.02
21054,2020-05-13,El Dorado,193098.0,2.0,1.04
21055,2020-05-13,Fresno,1032227.0,56.0,5.43
21057,2020-05-13,Humboldt,134098.0,2.0,1.49
21058,2020-05-13,Imperial,191649.0,88.0,45.92
21060,2020-05-13,Kern,927251.0,51.0,5.5
21061,2020-05-13,Kings,156444.0,20.0,12.78
21064,2020-05-13,Los Angeles,10257557.0,1447.0,14.11
21065,2020-05-13,Madera,160089.0,1.0,0.62
21066,2020-05-13,Marin,260800.0,6.0,2.3
21069,2020-05-13,Merced,287420.0,8.0,2.78
21072,2020-05-13,Monterey,448732.0,10.0,2.23
21073,2020-05-13,Napa,139652.0,0.0,0.0
21075,2020-05-13,Orange,3228519.0,175.0,5.42
21077,2020-05-13,Placer,400434.0,0.0,0.0
21079,2020-05-13,Riverside,2468145.0,160.0,6.48
21080,2020-05-13,Sacramento,1567975.0,30.0,1.91
21082,2020-05-13,San Bernardino,2217398.0,169.0,7.62
21083,2020-05-13,San Diego,3370418.0,182.0,5.4
21084,2020-05-13,San Francisco,892280.0,70.0,7.85
21085,2020-05-13,San Joaquin,782545.0,25.0,3.19
21086,2020-05-13,San Luis Obispo,278862.0,2.0,0.72
21087,2020-05-13,San Mateo,778001.0,47.0,6.04
21088,2020-05-13,Santa Barbara,456373.0,89.0,19.5
21089,2020-05-13,Santa Clara,1967585.0,54.0,2.74
21090,2020-05-13,Santa Cruz,273999.0,0.0,0.0
21091,2020-05-13,Shasta,177925.0,1.0,0.56
21094,2020-05-13,Solano,444255.0,10.0,2.25
21095,2020-05-13,Sonoma,496668.0,21.0,4.23
21096,2020-05-13,Stanislaus,562303.0,22.0,3.91
21097,2020-05-13,Sutter,105747.0,0.0,0.0
21100,2020-05-13,Tulare,484423.0,50.0,10.32
21103,2020-05-13,Ventura,852747.0,30.0,3.52
21104,2020-05-13,Yolo,223612.0,5.0,2.24
21106,2020-05-12,Alameda,1685886.0,44.0,2.61
21109,2020-05-12,Butte,217769.0,0.0,0.0
21113,2020-05-12,Contra Costa,1160099.0,14.0,1.21
21115,2020-05-12,El Dorado,193098.0,2.0,1.04
21116,2020-05-12,Fresno,1032227.0,74.0,7.17
21118,2020-05-12,Humboldt,134098.0,4.0,2.98
21119,2020-05-12,Imperial,191649.0,97.0,50.61
21121,2020-05-12,Kern,927251.0,40.0,4.31
21122,2020-05-12,Kings,156444.0,20.0,12.78
21125,2020-05-12,Los Angeles,10257557.0,1574.0,15.34
21126,2020-05-12,Madera,160089.0,0.0,0.0
21127,2020-05-12,Marin,260800.0,6.0,2.3
21130,2020-05-12,Merced,287420.0,17.0,5.91
21133,2020-05-12,Monterey,448732.0,10.0,2.23
21134,2020-05-12,Napa,139652.0,5.0,3.58
21136,2020-05-12,Orange,3228519.0,191.0,5.92
21138,2020-05-12,Placer,400434.0,1.0,0.25
21140,2020-05-12,Riverside,2468145.0,195.0,7.9
21141,2020-05-12,Sacramento,1567975.0,15.0,0.96
21143,2020-05-12,San Bernardino,2217398.0,131.0,5.91
21144,2020-05-12,San Diego,3370418.0,207.0,6.14
21145,2020-05-12,San Francisco,892280.0,76.0,8.52
21146,2020-05-12,San Joaquin,782545.0,6.0,0.77
21147,2020-05-12,San Luis Obispo,278862.0,7.0,2.51
21148,2020-05-12,San Mateo,778001.0,48.0,6.17
21149,2020-05-12,Santa Barbara,456373.0,17.0,3.73
21150,2020-05-12,Santa Clara,1967585.0,34.0,1.73
21151,2020-05-12,Santa Cruz,273999.0,0.0,0.0
21152,2020-05-12,Shasta,177925.0,0.0,0.0
21155,2020-05-12,Solano,444255.0,12.0,2.7
21156,2020-05-12,Sonoma,496668.0,11.0,2.21
21157,2020-05-12,Stanislaus,562303.0,12.0,2.13
21158,2020-05-12,Sutter,105747.0,1.0,0.95
21161,2020-05-12,Tulare,484423.0,71.0,14.66
21164,2020-05-12,Ventura,852747.0,32.0,3.75
21165,2020-05-12,Yolo,223612.0,3.0,1.34
21167,2020-05-11,Alameda,1685886.0,58.0,3.44
21170,2020-05-11,Butte,217769.0,2.0,0.92
21174,2020-05-11,Contra Costa,1160099.0,16.0,1.38
21176,2020-05-11,El Dorado,193098.0,3.0,1.55
21177,2020-05-11,Fresno,1032227.0,53.0,5.13
21179,2020-05-11,Humboldt,134098.0,2.0,1.49
21180,2020-05-11,Imperial,191649.0,90.0,46.96
21182,2020-05-11,Kern,927251.0,49.0,5.28
21183,2020-05-11,Kings,156444.0,20.0,12.78
21186,2020-05-11,Los Angeles,10257557.0,1452.0,14.16
21187,2020-05-11,Madera,160089.0,0.0,0.0
21188,2020-05-11,Marin,260800.0,7.0,2.68
21191,2020-05-11,Merced,287420.0,7.0,2.44
21194,2020-05-11,Monterey,448732.0,6.0,1.34
21195,2020-05-11,Napa,139652.0,6.0,4.3
21197,2020-05-11,Orange,3228519.0,179.0,5.54
21199,2020-05-11,Placer,400434.0,10.0,2.5
21201,2020-05-11,Riverside,2468145.0,156.0,6.32
21202,2020-05-11,Sacramento,1567975.0,24.0,1.53
21204,2020-05-11,San Bernardino,2217398.0,123.0,5.55
21205,2020-05-11,San Diego,3370418.0,176.0,5.22
21206,2020-05-11,San Francisco,892280.0,44.0,4.93
21207,2020-05-11,San Joaquin,782545.0,17.0,2.17
21208,2020-05-11,San Luis Obispo,278862.0,5.0,1.79
21209,2020-05-11,San Mateo,778001.0,60.0,7.71
21210,2020-05-11,Santa Barbara,456373.0,17.0,3.73
21211,2020-05-11,Santa Clara,1967585.0,48.0,2.44
21212,2020-05-11,Santa Cruz,273999.0,3.0,1.09
21213,2020-05-11,Shasta,177925.0,0.0,0.0
21216,2020-05-11,Solano,444255.0,10.0,2.25
21217,2020-05-11,Sonoma,496668.0,11.0,2.21
21218,2020-05-11,Stanislaus,562303.0,12.0,2.13
21219,2020-05-11,Sutter,105747.0,3.0,2.84
21222,2020-05-11,Tulare,484423.0,57.0,11.77
21225,2020-05-11,Ventura,852747.0,62.0,7.27
21226,2020-05-11,Yolo,223612.0,5.0,2.24
21228,2020-05-10,Alameda,1685886.0,15.0,0.89
21231,2020-05-10,Butte,217769.0,1.0,0.46
21235,2020-05-10,Contra Costa,1160099.0,7.0,0.6
21237,2020-05-10,El Dorado,193098.0,2.0,1.04
21238,2020-05-10,Fresno,1032227.0,25.0,2.42
21240,2020-05-10,Humboldt,134098.0,4.0,2.98
21241,2020-05-10,Imperial,191649.0,14.0,7.31
21243,2020-05-10,Kern,927251.0,24.0,2.59
21244,2020-05-10,Kings,156444.0,5.0,3.2
21247,2020-05-10,Los Angeles,10257557.0,501.0,4.88
21248,2020-05-10,Madera,160089.0,1.0,0.62
21249,2020-05-10,Marin,260800.0,1.0,0.38
21252,2020-05-10,Merced,287420.0,5.0,1.74
21255,2020-05-10,Monterey,448732.0,5.0,1.11
21256,2020-05-10,Napa,139652.0,0.0,0.0
21258,2020-05-10,Orange,3228519.0,53.0,1.64
21260,2020-05-10,Placer,400434.0,0.0,0.0
21262,2020-05-10,Riverside,2468145.0,65.0,2.63
21263,2020-05-10,Sacramento,1567975.0,9.0,0.57
21265,2020-05-10,San Bernardino,2217398.0,25.0,1.13
21266,2020-05-10,San Diego,3370418.0,59.0,1.75
21267,2020-05-10,San Francisco,892280.0,19.0,2.13
21268,2020-05-10,San Joaquin,782545.0,4.0,0.51
21269,2020-05-10,San Luis Obispo,278862.0,1.0,0.36
21270,2020-05-10,San Mateo,778001.0,27.0,3.47
21271,2020-05-10,Santa Barbara,456373.0,4.0,0.88
21272,2020-05-10,Santa Clara,1967585.0,5.0,0.25
21273,2020-05-10,Santa Cruz,273999.0,1.0,0.36
21274,2020-05-10,Shasta,177925.0,0.0,0.0
21277,2020-05-10,Solano,444255.0,8.0,1.8
21278,2020-05-10,Sonoma,496668.0,2.0,0.4
